fold,adjusted_sharpe,raw_sharpe,strategy_volatility,market_volatility,cumulative_return,max_drawdown,volatility_penalty,return_penalty,metric_errors,r2,spearman,rmse,train_end,inner_train_end,stopping_start,stopping_end,validation_start,validation_end,best_iteration,prediction_constant,allocation_mean
1,1.8642281181854208,1.8642281181854208,0.1381135395234543,0.18405361319648608,0.20360896580869975,0.08204433560762132,1.0,1.0,[],0.016785316855977728,0.18038017757871788,0.011465020149300724,7966,7785,7787,7966,7968,8147,47,False,0.5444444444444444
2,-0.4071261600311352,-0.4071261600311352,0.1914507873945508,0.24061547890237955,-0.03424003778516942,0.13366933152519417,1.0,1.0,[],0.0036922489813498993,0.05489446024875084,0.015102132389065503,8146,7965,7967,8146,8148,8327,37,False,0.45555555555555555
3,0.9711909639855089,1.0130221677354392,0.05756123091617756,0.12971198860867603,0.08054972356713806,0.024047814738584552,1.0,1.0430720685232349,[],-0.0017383935800079353,0.06917090687563708,0.00815583563168808,8326,8145,8147,8326,8328,8507,64,False,0.17777777777777778
4,0.026617735254822045,0.21389389042023377,0.056938189564874425,0.1112305968042878,0.04719790070886494,0.022090609217994443,1.0,8.035765942239017,[],-0.017062815553753996,-0.09727821585043075,0.007046757766862812,8506,8325,8327,8506,8508,8687,16,False,0.2777777777777778
5,0.058976774179712775,0.05987991507474643,0.14731252747750928,0.1478664678841467,0.03958373506523554,0.10035402840141125,1.0,1.0153135010789438,[],-0.0006651086477427182,-0.04641790135870377,0.009291142657354985,8686,8505,8507,8686,8688,8867,3,False,0.9888888888888889
