trial,fold,adjusted_sharpe,raw_sharpe,strategy_volatility,market_volatility,cumulative_return,max_drawdown,volatility_penalty,return_penalty,metric_errors,r2,spearman,rmse,train_end,inner_train_end,stopping_start,stopping_end,validation_start,validation_end,best_iteration,prediction_constant,allocation_mean
0,1,-0.20112797002377822,-0.20112797002377822,0.1634362385802994,0.18405361319648608,-0.021729762116655553,0.13826737290145927,1.0,1.0,[],9.260318031933945e-05,0.03527527605753141,0.011561935308233618,7966,7785,7787,7966,7968,8147,52,False,0.7944444444444444
0,2,-0.4323361134862651,-0.4323361134862651,0.1624597746181815,0.24061547890237955,-0.028907679733642135,0.12644177327395087,1.0,1.0,[],-0.0024688323347503704,0.0366657407121619,0.01514875556467019,8146,7965,7967,8146,8148,8327,34,False,0.39444444444444443
0,3,0.6225548725264394,0.7866229548201542,0.035250015895359456,0.12971198860867603,0.05720932381172056,0.01704645,1.0,1.263539953719898,[],-0.0008262313397191523,-0.014975924295061343,0.008152121518466691,8326,8145,8147,8326,8328,8507,8,False,0.07777777777777778
0,4,2.4586268930698876,2.4644493285672837,0.11059774299347001,0.1112305968042878,0.261073561449427,0.054478368584236346,1.0,1.0023681655454952,[],-0.012830932140606377,0.04569687411655678,0.007032082103732449,8506,8325,8327,8506,8508,8687,1,False,0.9833333333333333
0,5,-0.1082312250429177,-0.125163187713622,0.14666434640139592,0.1478664678841467,0.019600385823425874,0.10495384529175364,1.0,1.1564424930420047,[],-0.0015970058384873198,-0.10219551852096141,0.009295467967972383,8686,8505,8507,8686,8688,8867,3,False,0.9666666666666667
1,1,1.8642281181854208,1.8642281181854208,0.1381135395234543,0.18405361319648608,0.20360896580869975,0.08204433560762132,1.0,1.0,[],0.016785316855977728,0.18038017757871788,0.011465020149300724,7966,7785,7787,7966,7968,8147,47,False,0.5444444444444444
1,2,-0.4071261600311352,-0.4071261600311352,0.1914507873945508,0.24061547890237955,-0.03424003778516942,0.13366933152519417,1.0,1.0,[],0.0036922489813498993,0.05489446024875084,0.015102132389065503,8146,7965,7967,8146,8148,8327,37,False,0.45555555555555555
1,3,0.9711909639855089,1.0130221677354392,0.05756123091617756,0.12971198860867603,0.08054972356713806,0.024047814738584552,1.0,1.0430720685232349,[],-0.0017383935800079353,0.06917090687563708,0.00815583563168808,8326,8145,8147,8326,8328,8507,64,False,0.17777777777777778
1,4,0.026617735254822045,0.21389389042023377,0.056938189564874425,0.1112305968042878,0.04719790070886494,0.022090609217994443,1.0,8.035765942239017,[],-0.017062815553753996,-0.09727821585043075,0.007046757766862812,8506,8325,8327,8506,8508,8687,16,False,0.2777777777777778
1,5,0.058976774179712775,0.05987991507474643,0.14731252747750928,0.1478664678841467,0.03958373506523554,0.10035402840141125,1.0,1.0153135010789438,[],-0.0006651086477427182,-0.04641790135870377,0.009291142657354985,8686,8505,8507,8686,8688,8867,3,False,0.9888888888888889
