model,cv_adjusted_sharpe_mean,cv_adjusted_sharpe_std,holdout_adjusted_sharpe,holdout_raw_sharpe,holdout_r2,holdout_spearman,holdout_rmse,holdout_strategy_volatility,holdout_cumulative_return,holdout_max_drawdown
Solution 1 baseline,0.4645772855766058,0.704304443533899,0.9551663460420649,1.2387478679607582,-0.016038454112995204,0.1433192382480941,0.010395406651623569,0.10476040561368664,0.12936531201477,0.08613246189409224
Solution 1 improved,1.0077054789136712,0.8419355674270921,0.43199414410357806,0.7479114109579876,-0.01232561712526592,0.14528745853224856,0.010376395670888003,0.13202563484063115,0.1046255437592211,0.11155221438193824
