fold,validation_start,validation_end,adjusted_sharpe,raw_sharpe,strategy_volatility,market_volatility,cumulative_return,max_drawdown,volatility_penalty,return_penalty,metric_errors,r2,spearman,rmse
1,7968,8147,-0.3955441374667176,-0.3955441374667176,0.07445324773184789,0.18405361319648608,-0.01933706468365545,0.06580275224664855,1.0,1.0,[],-0.005212282953309888,,0.01159256495182632
2,8148,8327,-0.04719913628722,-0.04719913628722,0.16354093841583223,0.24061547890237955,0.015441599140104605,0.11538697544889256,1.0,1.0,[],-0.0048468733479527515,,0.01516671274302057
3,8328,8507,0.41152944514230994,0.4443859786010202,0.16559152308274175,0.12971198860867603,0.09240029610723136,0.1558520437409552,1.0766092391221413,1.0030009176745112,[],-0.00038316159507822967,,0.008150316830433973
4,8508,8687,1.5155637764007464,2.0104624872578563,0.10956924601176259,0.1112305968042878,0.21490551617487852,0.07367950531805573,1.0,1.3265442989356908,[],-0.014156352381156534,0.049193612224505835,0.007036681793766243
5,8688,8867,0.11000520953804636,0.11247315510502527,0.18074575908728444,0.1478664678841467,0.048164823671108616,0.14677657750502915,1.0223579941660517,1.0000751323169708,[],-0.0017038740545038955,-0.046946184334347246,0.00929596385782442
