fold,train_start,train_end,train_rows,validation_start,validation_end,validation_rows,feature_count,boosting_iterations,allocation_mean,adjusted_sharpe,raw_sharpe,strategy_volatility,market_volatility,cumulative_return,max_drawdown,volatility_penalty,return_penalty,metric_errors,r2,spearman,rmse
1,0,7966,7967,7968,8147,180,313,6917,0.7388888888888889,0.2624976010221868,0.2624976010221868,0.16340481777545462,0.18405361319648608,0.032667791714696824,0.10219632849581654,1.0,1.0,[],-0.09746667501589101,0.044538411679372815,0.01211284933540387
2,0,8146,8147,8148,8327,180,313,6917,0.39444444444444443,0.4402797653382668,0.4402797653382668,0.15323933734958944,0.24061547890237955,0.07145336379561096,0.11396413791465874,1.0,1.0,[],-0.03349204011355411,0.07329238556745578,0.015381372384621287
3,0,8326,8327,8328,8507,180,313,6917,0.26666666666666666,0.11321810433441024,0.16312353412230052,0.07768702649074356,0.12971198860867603,0.045904582500893,0.029853512772188416,1.0,1.4407901905907692,[],-0.08110681591004054,0.07971027912384127,0.008472773714852909
4,0,8506,8507,8508,8687,180,313,6917,0.35,1.6624035326893978,2.7030047225770817,0.07336693166084739,0.1112305968042878,0.19600480949548263,0.04776915533553561,1.0,1.6259618494699801,[],-0.11820388086047373,0.10202578268876611,0.007388834723062961
5,0,8686,8687,8688,8867,180,313,6917,0.5166666666666667,-0.15551257550123232,-0.1857390935787784,0.12324407088709033,0.1478664678841467,0.0163051384915941,0.0710309910237312,1.0,1.1943670341779309,[],-0.11138199470741705,-0.0377028097575028,0.009791662328125133
