fold,adjusted_sharpe,raw_sharpe,strategy_volatility,market_volatility,cumulative_return,max_drawdown,volatility_penalty,return_penalty,metric_errors,r2,spearman,rmse,train_end,inner_train_end,stopping_start,stopping_end,validation_start,validation_end,best_iteration,prediction_constant,allocation_mean
1,0.6604780338228147,0.6604780338228147,0.1703818806307163,0.18405361319648608,0.08531802231175957,0.11078235665370789,1.0,1.0,[],0.0045538358394995315,0.08397790055248618,0.011536113844299704,7966,7785,7787,7966,7968,8147,118,False,0.7666666666666667
2,0.8900786651404096,0.8900786651404096,0.17959668217172284,0.24061547890237955,0.14450363158186108,0.08666301853005648,1.0,1.0,[],0.006271906401230987,0.09347613609473543,0.01508256836458135,8146,7965,7967,8146,8148,8327,61,False,0.38333333333333336
3,1.2666773926145325,1.278986514034992,0.05411065855967825,0.12971198860867603,0.08898891377879549,0.022037601233221852,1.0,1.0097176451496086,[],0.007328915521860324,0.1865366215006636,0.00811884015006538,8326,8145,8147,8326,8328,8507,222,False,0.11666666666666667
4,2.2536162072450354,2.338568763684939,0.11032963084682447,0.1112305968042878,0.2480524181100933,0.05876421390677162,1.0,1.037696106447404,[],-0.013532637619181553,-0.016935959394259115,0.007034517651468394,8506,8325,8327,8506,8508,8687,2,False,0.9444444444444444
5,-0.03232290425443627,-0.034555132408124516,0.14711226982019196,0.1478664678841467,0.02931223847149732,0.10035402840141124,1.0,1.069060259440699,[],-0.0015519480698500399,0.0037545563096897,0.009295258883004509,8686,8505,8507,8686,8688,8867,3,False,0.9333333333333333
