trial,fold,adjusted_sharpe,raw_sharpe,strategy_volatility,market_volatility,cumulative_return,max_drawdown,volatility_penalty,return_penalty,metric_errors,r2,spearman,rmse,train_end,inner_train_end,stopping_start,stopping_end,validation_start,validation_end,best_iteration,prediction_constant,allocation_mean
0,1,-0.20112797002377822,-0.20112797002377822,0.1634362385802994,0.18405361319648608,-0.021729762116655553,0.13826737290145927,1.0,1.0,[],9.260318031933945e-05,0.03527527605753141,0.011561935308233618,7966,7785,7787,7966,7968,8147,52,False,0.7944444444444444
0,2,-0.4323361134862651,-0.4323361134862651,0.1624597746181815,0.24061547890237955,-0.028907679733642135,0.12644177327395087,1.0,1.0,[],-0.0024688323347503704,0.0366657407121619,0.01514875556467019,8146,7965,7967,8146,8148,8327,34,False,0.39444444444444443
0,3,0.6225548725264394,0.7866229548201542,0.035250015895359456,0.12971198860867603,0.05720932381172056,0.01704645,1.0,1.263539953719898,[],-0.0008262313397191523,-0.014975924295061343,0.008152121518466691,8326,8145,8147,8326,8328,8507,8,False,0.07777777777777778
0,4,2.4586268930698876,2.4644493285672837,0.11059774299347001,0.1112305968042878,0.261073561449427,0.054478368584236346,1.0,1.0023681655454952,[],-0.012830932140606377,0.04569687411655678,0.007032082103732449,8506,8325,8327,8506,8508,8687,1,False,0.9833333333333333
0,5,-0.1082312250429177,-0.125163187713622,0.14666434640139592,0.1478664678841467,0.019600385823425874,0.10495384529175364,1.0,1.1564424930420047,[],-0.0015970058384873198,-0.10219551852096141,0.009295467967972383,8686,8505,8507,8686,8688,8867,3,False,0.9666666666666667
1,1,1.3548659242264949,1.3548659242264949,0.14918765637673517,0.18405361319648608,0.15699685268862842,0.09863595441935354,1.0,1.0,[],0.01911078406153044,0.18364037806746436,0.011451453777561179,7966,7785,7787,7966,7968,8147,101,False,0.55
1,2,1.2579371490436007,1.2579371490436007,0.15689759373054102,0.24061547890237955,0.17556116773015118,0.0895922003844191,1.0,1.0,[],0.024243820489814105,0.15043468419807196,0.014945559358259796,8146,7965,7967,8146,8148,8327,126,False,0.2833333333333333
1,3,0.28892544181760893,0.3837912094124559,0.05670702583065586,0.12971198860867603,0.05271681263105118,0.04244637762065925,1.0,1.3283399585652733,[],-0.0074318809757840665,0.09968111139291183,0.00817898007475008,8326,8145,8147,8326,8328,8507,145,False,0.16666666666666666
1,4,0.026617735254822045,0.21389389042023377,0.056938189564874425,0.1112305968042878,0.04719790070886494,0.022090609217994443,1.0,8.035765942239017,[],-0.017062815553753996,-0.09727821585043075,0.007046757766862812,8506,8325,8327,8506,8508,8687,16,False,0.2777777777777778
1,5,0.058976774179712775,0.05987991507474643,0.14731252747750928,0.1478664678841467,0.03958373506523554,0.10035402840141125,1.0,1.0153135010789438,[],-0.0006651086477427182,-0.04641790135870377,0.009291142657354985,8686,8505,8507,8686,8688,8867,3,False,0.9888888888888889
2,1,0.552471864122843,0.552471864122843,0.1531781017204096,0.18405361319648608,0.06390482662979875,0.11200692764730073,1.0,1.0,[],0.004580804356144386,0.08417132216014897,0.011535957575685383,7966,7785,7787,7966,7968,8147,245,False,0.6777777777777778
2,2,0.04956787347317869,0.04956787347317869,0.15742823271555376,0.24061547890237955,0.026756753331586308,0.12202008271640823,1.0,1.0,[],0.00678930601768668,0.055777441690587154,0.015078641369268207,8146,7965,7967,8146,8148,8327,112,False,0.3333333333333333
2,3,0.13054300794960508,0.19805225776001387,0.03611188507906554,0.12971198860867603,0.04178884607011184,0.01704645,1.0,1.5171418283579778,[],0.0014984737457431896,0.13927913338807268,0.008142648197575505,8326,8145,8147,8326,8328,8507,75,False,0.044444444444444446
2,4,0.12179193739380247,0.8056943915214553,0.05021996691769407,0.1112305968042878,0.06856200453752907,0.034953050538039855,1.0,6.615334387171462,[],-0.019073389171839317,0.020607888675478678,0.00705371949526549,8506,8325,8327,8506,8508,8687,71,False,0.1388888888888889
2,5,-0.15725677289492482,-0.19624795526130637,0.14572553408253855,0.1478664678841467,0.012170210170992526,0.10035402840141124,1.0,1.2479459653698637,[],-0.0006795578163620863,-0.022378656594844636,0.00929120973714079,8686,8505,8507,8686,8688,8867,4,False,0.9277777777777778
3,1,-0.02794071356283844,-0.02794071356283844,0.16631496601266257,0.18405361319648608,-0.0018071754590015339,0.12828488573645347,1.0,1.0,[],0.0042464449479664435,0.04471331419694023,0.011537894866083342,7966,7785,7787,7966,7968,8147,142,False,0.6444444444444445
3,2,0.17653099801247213,0.17653099801247213,0.19181075951452992,0.24061547890237955,0.046042615374639155,0.1292055267381639,1.0,1.0,[],0.0024418603971103625,0.08140374702922928,0.015111606175060808,8146,7965,7967,8146,8148,8327,113,False,0.4777777777777778
3,3,0.2564022185432854,0.3650404987093921,0.03827568254646557,0.12971198860867603,0.04687503285833421,0.01704645,1.0,1.4237025747410474,[],-0.003456321328335621,0.088041811990082,0.00816282604679563,8326,8145,8147,8326,8328,8507,229,False,0.05
3,4,2.4941780548716257,2.4941780548716257,0.1112305968042878,0.1112305968042878,0.26545899123234523,0.05876421390677162,1.0,1.0,[],-0.012666135412851665,-0.010199991764529973,0.007031509988867831,8506,8325,8327,8506,8508,8687,1,False,1.0
3,5,0.143344431629604,0.143344431629604,0.1478664678841467,0.1478664678841467,0.048811456878790564,0.10035402840141125,1.0,1.0,[],-0.0004220646339436751,0.1824857685141529,0.009290014260992392,8686,8505,8507,8686,8688,8867,1,False,1.0
